0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,label
-440.49362,127.73798,42.18544,27.778069,31.934528,34.429478,24.48181,9.096407,4.0885057,10.645367,15.79964,6.8682017,0.46869206,5.065912,8.353215,8.053672,5.729823,3.046887,4.266655,6.180052,5.144375,3.2190895,2.3152335,3.8634207,4.2392983,2.4405992,1.8399073,1.2914666,2.1518385,3.6280363,2.4119325,1.0983034,1.3008096,1.8556432,2.1205163,1.7363758,1.3693726,1.6446931,1.6676946,2.168474,2.4059293,1.9193708,1.8064924,2.1106145,2.0358896,NORMAL
-390.9044,157.54483,32.615208,-13.491844,11.863803,28.44222,12.6724205,-0.47666526,6.052698,15.594081,14.585726,7.5998445,5.539127,10.098447,11.610601,6.82412,3.4178617,4.0988626,4.485451,4.206383,6.4613204,8.937765,7.123201,4.6846747,5.921592,6.606677,4.035477,2.1419246,3.073419,3.9612215,2.6761203,1.304594,1.4995731,2.3192139,3.2150533,3.3476226,2.0076942,0.8977464,1.2305593,1.8173845,1.3852242,0.68902975,0.7895903,0.9010567,0.6333066,NORMAL
-443.36798,150.14381,30.698303,-14.248336,15.459804,34.60255,12.715862,-7.4850173,2.3055894,18.83016,15.242558,1.1571583,-0.202257,9.825236,12.75038,5.4182158,0.693154,2.9772925,5.0254326,4.449674,5.1162553,6.8732104,6.994244,6.2660165,5.677684,3.8249974,1.310991,1.2059392,3.64505,5.2639637,4.1772394,1.9336867,0.8614695,2.0239565,4.4447236,5.1645308,2.2894132,-1.4002384,-1.5282626,1.6257924,3.902818,3.0745766,0.6391781,-0.53449714,0.8670845,NORMAL
-407.14417,166.07506,31.678432,-13.855949,12.371933,23.103148,3.0116823,-6.9512367,6.329805,18.56052,10.185163,-3.8935828,-0.5860526,13.016679,13.951681,3.5195575,-0.742713,3.6138372,6.011898,4.9364085,5.827073,8.137573,7.567225,5.2699003,4.157386,4.148478,4.3383055,4.6699586,3.7343857,1.6330438,1.2253621,3.537959,5.019056,3.6629634,1.9280773,1.7722286,1.2004532,-0.12422356,0.11202827,1.7261354,2.0674913,1.3493068,1.3784811,2.0280216,1.8338317,NORMAL
-561.4124,100.17798,62.68641,37.98668,26.692186,25.210379,27.57264,27.67035,24.107365,19.459265,13.339743,7.9262094,6.638713,9.5448885,12.38277,12.005523,8.515979,4.3818097,2.5793045,4.096319,6.6818504,8.295832,7.939501,5.8302827,2.926848,1.1529241,0.9776609,2.2850196,4.174562,5.3451395,4.6196184,2.386024,0.19387133,-0.43276197,0.6535971,2.544442,3.875269,4.1030765,2.980622,1.4151733,0.23620543,0.07628,0.7549174,1.6783783,2.0126317,NORMAL
-382.56207,155.86772,35.334187,2.6368186,24.303753,28.734177,10.816757,-3.6698036,-1.0348606,11.438004,19.367258,13.02456,1.6665773,3.2881653,9.788097,7.624859,3.4179862,1.3472747,1.993843,5.317593,5.6764836,5.328995,5.484576,2.7622619,2.789224,4.965827,3.4771318,1.8176613,1.9640846,3.449029,4.704662,2.7845387,2.0508273,3.5750031,3.2218575,3.073325,2.850904,1.5441864,1.9196708,2.2761908,2.3347366,2.7675102,1.3143911,0.8533777,2.0733016,NORMAL
-410.49426,137.71782,41.605938,7.4457684,20.882063,26.862587,15.057262,3.3692384,3.3306818,13.831454,19.147692,11.605579,5.055168,8.315069,10.575046,6.7208695,4.206229,4.599766,3.9611807,3.6183326,4.622829,4.8928885,4.333824,3.8438213,3.1150222,2.8312302,3.2989588,3.3999496,3.1279101,3.489515,3.7862394,3.053181,2.2147856,2.397717,3.084645,3.274888,2.2611337,0.83245903,0.7779936,2.0357394,2.9290574,3.0221515,2.4367027,1.4144841,0.8281048,NORMAL
-389.09976,137.86063,27.740694,-8.796451,15.699459,29.76547,14.820516,2.069283,7.4991794,17.430975,15.424931,8.047455,4.7323155,10.330619,13.713489,9.140841,4.178833,3.7194195,4.582496,4.8186917,5.992627,7.9073,6.7746487,5.516038,5.802446,6.014425,4.2979527,3.3120975,3.7927318,3.5697937,2.3212233,1.7187985,2.1248915,2.9115536,3.1586783,3.3319235,2.4774141,1.4085275,1.3228579,1.8070277,1.5789483,0.8643455,0.5500527,1.1489817,1.4082943,NORMAL
-536.70374,129.91977,58.213604,19.598745,25.070414,41.237484,37.8199,19.160828,4.406312,2.033335,5.9624524,9.234048,9.319916,6.765373,3.5473902,3.0538907,5.715669,8.0779915,6.8523645,3.6451154,1.9625261,3.0349214,5.028384,6.1379113,5.5301533,3.8278224,2.093977,1.6214337,2.2153416,2.4875581,1.6340208,1.2471863,2.1364906,2.8631098,2.0387197,1.1139011,1.7544023,3.558036,4.0891056,2.5801044,0.92583084,1.2037966,2.3260024,2.1863797,0.95963717,NORMAL
-514.55927,140.81859,58.924778,15.629807,23.771458,41.855076,36.224598,14.88636,0.6254765,0.017294964,5.0676084,8.7180605,9.046808,5.9308767,1.4904003,0.51276195,4.167007,7.542376,6.538266,3.5693772,2.8203373,4.202405,5.0558257,4.632944,4.0626025,3.7566595,3.2882771,2.7398293,2.3455846,1.8438505,1.2918167,1.5180897,2.587129,3.0325568,2.0775857,1.189565,1.7602001,3.0397677,3.3730984,2.5251837,1.8086822,2.2062945,2.9261217,2.7435036,1.7923194,NORMAL
